"Ahrweiler;""2.640"";""1.930"";""720"";""27"""
"Aichach-Friedberg;""2.220"";""1.760"";""450"";""20"""
"Alb-Donau-Kreis;""3.110"";""2.540"";""570"";""18"""
"Altenburger Land;""3.550"";""2.350"";""1.210"";""34"""
"Altenkirchen (Westerwald);""3.540"";""2.470"";""1.080"";""30"""
"Altmarkkreis Salzwedel;""3.060"";""1.950"";""1.110"";""36"""
"Altötting;""2.240"";""1.750"";""490"";""22"""
"Alzey-Worms;""2.940"";""2.190"";""750"";""26"""
"Amberg-Sulzbach;""1.930"";""1.590"";""340"";""17"""
"Amberg, Stadt;""1.170"";""920"";""250"";""22"""
"Ammerland;""3.390"";""2.630"";""760"";""22"""
"Anhalt-Bitterfeld;""6.020"";""3.780"";""2.240"";""37"""
"Ansbach;""2.970"";""2.290"";""680"";""23"""
"Ansbach, Stadt;""1.070"";""840"";""240"";""22"""
"Aschaffenburg;""3.670"";""2.840"";""830"";""23"""
"Aschaffenburg, Stadt;""2.500"";""1.860"";""640"";""26"""
"Augsburg;""4.110"";""3.370"";""750"";""18"""
"Augsburg, Stadt;""9.290"";""6.650"";""2.630"";""28"""
"Aurich;""7.030"";""4.650"";""2.380"";""34"""
"Bad Dürkheim;""2.930"";""1.990"";""940"";""32"""
"Bad Kissingen;""1.950"";""1.430"";""520"";""27"""
"Bad Kreuznach;""5.100"";""3.080"";""2.020"";""40"""
"Bad Tölz-Wolfratshausen;""1.650"";""1.420"";""230"";""14"""
"Baden-Baden, Stadt;""1.740"";""1.210"";""530"";""30"""
"Bamberg;""2.460"";""1.980"";""480"";""19"""
"Bamberg, Stadt;""2.000"";""1.490"";""510"";""26"""
"Barnim;""5.610"";""3.730"";""1.880"";""34"""
"Bautzen;""8.980"";""5.430"";""3.550"";""40"""
"Bayreuth;""2.210"";""1.780"";""420"";""19"""
"Bayreuth, Stadt;""2.070"";""1.630"";""450"";""21"""
"Berchtesgadener Land;""2.390"";""1.920"";""480"";""20"""
"Bergstraße;""6.190"";""4.540"";""1.640"";""27"""
"Berlin, Stadt;""183.520"";""124.480"";""59.040"";""32"""
