"RS","NAME","INSGESAMT","INSG_M","INSG_W","AUSL_INSG","AUSL_M","AUSL_W","IIU6","IMU6","IWU6","DIU6","DMU6","DWU6","AIU6","AMU6","AWU6","II6BU15","IM6BU15","IW6BU15","DI6BU15","DM6BU15","DW6BU15","AI6BU15","AM6BU15","AW6BU15","II15BU65","IM15BU65","IW15BU65","DI15BU65","DM15BU65","DW15BU65","AI15BU65","AM15BU65","AW15BU65","II65UM","IM65UM","IW65UM","DI65UM","DM65UM","DW65UM","AI65UM","AM65UM","AW65UM","ANT_AI","ANT_AM","ANT_AW","ANT_AIU6","ANT_AMU6","ANT_AWU6","ANT_AI6BU15","ANT_AM6BU15","ANT_AW6BU15","ANT_AI15BU65","ANT_AM15BU65","ANT_AW15BU65","ANT_AI65UM","ANT_AM65UM","ANT_AW65UM","SOZ_INS","SOZ_AUS","BESCHQ_INS","BESCHQ_AUS","ARBLOS_INSG","ARBLOS_AUSL","BESCH_AUS_ABSOLUT","ARBSUCH_INSG_ABSOLUT","ARBSUCH_FLUMI_ABSOLUT","ALQ_AUSL","ANT_ARBS_FLUMI","ANT_SOZ_AUS","kurs_begon","kurs_beend","kurs_tnber","kurs_tln","AZR_INSG","AZR_GASTARB","AZR_EU28_AUSL","AZR_OST2004","AZR_NICHTEU_AUSL","AZR_SYRIEN","AZR_AFGHANISTAN","AZR_IRAK","AZR_EUNIEDERL","AZR_UNBEFR","AZR_BEFR","AZR_ERWERB","AZR_BLUE_C","AZR_GESTATT","AZR_DULD","AZR_U6","AZR_6BU15","AZR_15BU65","AZR_65UM","AZR_ADU2","AZR_AD2BU10","AZR_AD10BU25","AZR_AD25UM","AZR_ANT_GASTARB","AZR_ANT_EU28_AUSL","AZR_ANT_OST2004","AZR_ANT_NICHTEU_AUSL","AZR_ANT_SYRIEN","AZR_ANT_AFGHANISTAN","AZR_ANT_IRAK","AZR_ANT_EUNIEDERL","AZR_ANT_UNBEFR","AZR_ANT_BEFR","AZR_ANT_ERWERB","AZR_ANT_BLUE_C","AZR_ANT_GESTATT","AZR_ANT_DULD","AZR_ANT_U6","AZR_ANT_6BU15","AZR_ANT_15BU65","AZR_ANT_65UM","AZR_ANT_ADU2","AZR_ANT_AD2BU10","AZR_ANT_AD10BU25","AZR_ANT_AD25UM","N_Sch_I","N_Sch_I_Lag","N_Sch_O","N_Sch_J","N_Sch_N","N_Sch_SY","N_Sch_AF","N_Sch_IQ","N_Sch_RU","N_Sch_IR","N_Sch_XK","A2_Sch_i","A_Sch_O","A_Sch_J","A_Sch_N","A_Sch_SY","A_Sch_AF","A_Sch_IQ","A_Sch_RU","A_Sch_IR","A_Sch_XK","Sch_I_lag"
01001,"Flensburg, Stadt",91113,45336,45777,15482,8573,6909,5270,2760,2510,3974,2099,1875,1296,661,635,6902,3559,3343,5622,2894,2728,1280,665,615,60548,31016,29532,48754,24260,24494,11794,6756,5038,18393,8001,10392,17281,7510,9771,1112,491,621,"17.0","18.9","15.1","24.6","23.9","25.3","18.5","18.7","18.4","19.5","21.8","17.1","6.0","6.1","6.0",31959,3612,"53.4","36.8",4136,976,4250,7821,1146,"17.1","14.7","11.3",42,35,529,498,18140,2330,8275,4865,9865,2735,1014,834,8865,1835,4840,185,65,125,315,1250,1400,14175,1315,3090,10730,2235,2085,"12.8","45.6","26.8","54.4","15.1","5.6","4.6","48.9","10.1","26.7","1.0","0.4","0.7","1.7","6.9","7.7","78.1","7.2","17.0","59.2","12.3","11.5",4080,3965,135,3605,340,1970,535,530,45,125,25,"4.5","3.3","88.4","8.3","48.3","13.1",13,"1.1","3.1","0.6","2.9"
01002,"Kiel, Stadt",246243,119860,126383,30784,15859,14925,13168,6719,6449,10813,5557,5256,2355,1162,1193,17512,8937,8575,14845,7598,7247,2667,1339,1328,168733,83966,84767,145421,71665,73756,23312,12301,11011,46830,20238,26592,44380,19181,25199,2450,1057,1393,"12.5","13.2","11.8","17.9","17.3","18.5","15.2","15.0","15.5","13.8","14.6","13.0","5.2","5.2","5.2",90876,7796,"53.2","35.4",10009,2827,9945,20495,2892,"21.6","14.1","8.6",100,92,1544,1139,32635,7000,8185,5735,24450,5655,1074,2526,8605,6140,12540,630,190,550,1185,2330,2930,24735,2645,3635,17975,6015,5010,"21.4","25.1","17.6","74.9","17.3","3.3","7.7","26.4","18.8","38.4","1.9","0.6","1.7","3.6","7.1","9.0","75.8","8.1","11.1","55.1","18.4","15.4",9310,9015,560,7640,1110,4115,765,1600,410,305,35,"3.8",6,"82.1","11.9","44.2","8.2","17.2","4.4","3.3","0.4","3.3"
01003,"Lübeck, Stadt",216277,104005,112272,24235,12444,11791,11038,5650,5388,9460,4839,4621,1578,811,767,16063,8253,7810,14177,7325,6852,1886,928,958,138246,68635,69611,119909,59024,60885,18337,9611,8726,50930,21467,29463,48496,20373,28123,2434,1094,1340,"11.2","12.0","10.5","14.3","14.4","14.2","11.7","11.2","12.3","13.3","14.0","12.5","4.8","5.1","4.5",79044,6715,"56.6","40.2",7981,1894,8097,16585,1667,"8.5","10.1","8.5",74,76,963,808,27105,7525,9060,5815,18045,2720,1080,1284,9395,6225,7265,490,150,530,1050,1620,2075,20445,2970,2745,13025,5440,5890,"27.8","33.4","21.5","66.6","10.0","4.0","4.7","34.7","23.0","26.8","1.8","0.6","2.0","3.9","6.0","7.7","75.4","11.0","10.1","48.1","20.1","21.7",6055,5815,535,4535,985,1960,795,825,340,390,20,"2.8","8.8","74.9","16.3","32.4","13.1","13.6","5.6","6.4","0.3","4.1"
01004,"Neumünster, Stadt",79496,39382,40114,10736,5946,4790,4263,2224,2039,3364,1768,1596,899,456,443,6550,3374,3176,5367,2728,2639,1183,646,537,50351,25824,24527,42446,21301,21145,7905,4523,3382,18332,7960,10372,17583,7639,9944,749,321,428,"13.5","15.1","11.9","21.1","20.5","21.7","18.1","19.1","16.9","15.7","17.5","13.8","4.1","4.0","4.1",29611,2607,"58.3","37.8",3282,766,3024,6228,459,"3.8","7.4","8.8",21,19,455,221,11905,3095,4415,3835,7490,1315,744,510,4625,2310,2595,140,55,490,235,880,1310,8900,815,1765,6605,1685,1845,"26.0","37.1","32.2","62.9","11.0","6.2","4.3","38.8","19.4","21.8","1.2","0.5","4.1","2.0","7.4","11.0","74.8","6.8","14.8","55.5","14.2","15.5",2690,2490,575,1675,440,815,575,290,70,85,35,"3.4","21.4","62.3","16.4","30.3","21.4","10.8","2.6","3.2","1.3",8
01051,"Dithmarschen",133969,66046,67923,8771,4784,3987,6699,3399,3300,5829,2960,2869,870,439,431,10424,5326,5098,9415,4806,4609,1009,520,489,82723,41709,41014,76271,38097,38174,6452,3612,2840,34123,15612,18511,33683,15399,18284,440,213,227,"6.5","7.2","5.9","13.0","12.9","13.1","9.7","9.8","9.6","7.8","8.7","6.9","1.3","1.4","1.2",48095,2477,"57.8","44.2",3874,636,3009,7330,736,"18.4",10,"5.2",19,22,842,400,9530,1395,4115,3345,5415,1395,624,360,4230,1030,2800,105,50,335,470,865,1085,7065,515,1280,5785,1480,990,"14.6","43.2","35.1","56.8","14.6","6.5","3.8","44.4","10.8","29.4","1.1","0.5","3.5","4.9","9.1","11.4","74.1","5.4","13.4","60.7","15.5","10.4",2720,2660,340,1925,455,995,515,285,90,120,25,"2.0","12.5","70.8","16.7","36.6","18.9","10.5","3.3","4.4","0.9","2.3"
01053,"Herzogtum Lauenburg",200819,98622,102197,18020,9506,8514,11829,6062,5767,10434,5315,5119,1395,747,648,17378,8974,8404,15527,7972,7555,1851,1002,849,125988,63194,62794,112609,56111,56498,13379,7083,6296,45624,20392,25232,44229,19718,24511,1395,674,721,"9.0","9.6","8.3","11.8","12.3","11.2","10.7","11.2","10.1","10.6","11.2","10.0","3.1","3.3","2.9",74526,5009,"59.6","42.9",4928,1225,6000,9088,1206,"17.3","13.3","6.7",28,25,863,609,18725,4785,7075,5315,11645,1930,1458,576,7395,3585,4590,250,55,465,875,1390,1890,14035,1410,2360,9930,3050,3385,"25.6","37.8","28.4","62.2","10.3","7.8","3.1","39.5","19.1","24.5","1.3","0.3","2.5","4.7","7.4","10.1","75.0","7.5","12.6","53.0","16.3","18.1",4650,4610,465,3345,840,1335,1155,470,185,265,85,"2.3",10,"71.9","18.1","28.7","24.8","10.1",4,"5.7","1.8","0.9"
01054,"Nordfriesland",167560,82039,85521,13027,7085,5942,8524,4454,4070,7621,3950,3671,903,504,399,12660,6506,6154,11478,5891,5587,1182,615,567,104814,52463,52351,94711,46848,47863,10103,5615,4488,41562,18616,22946,40723,18265,22458,839,351,488,"7.8","8.6","6.9","10.6","11.3","9.8","9.3","9.5","9.2","9.6","10.7","8.6","2.0","1.9","2.1",62101,4304,"59.4","47.5",4955,980,4867,8409,801,"15.9","9.5","6.9",16,14,698,341,13550,1920,6515,4640,7035,1365,744,546,6775,1270,3390,265,45,360,730,875,1170,10485,1015,1715,7570,2300,1965,"14.2","48.1","34.2","51.9","10.1","5.5","4.0","50.0","9.4","25.0","2.0","0.3","2.7","5.4","6.5","8.6","77.4","7.5","12.7","55.9","17.0","14.5",3340,3370,360,2255,725,1080,665,440,145,140,20,"2.0","10.8","67.5","21.7","32.3","19.9","13.2","4.3","4.2","0.6","-0.9"
01055,"Ostholstein",202014,97423,104591,12727,6605,6122,9055,4544,4511,8248,4155,4093,807,389,418,14578,7434,7144,13371,6803,6568,1207,631,576,121368,59830,61538,111619,54654,56965,9749,5176,4573,57013,25615,31398,56049,25206,30843,964,409,555,"6.3","6.8","5.9","8.9","8.6","9.3","8.3","8.5","8.1","8.0","8.7","7.4","1.7","1.6","1.8",72304,4307,"59.3","49.2",5673,1040,5420,10081,877,"15.9","8.7",6,17,13,916,596,13410,2485,5490,3800,7915,1670,732,768,5730,1610,3585,250,35,485,745,765,1205,10315,1125,1705,7430,2130,2145,"18.5","40.9","28.3","59.0","12.5","5.5","5.7","42.7","12.0","26.7","1.9","0.3","3.6","5.6","5.7","9.0","76.9","8.4","12.7","55.4","15.9","16.0",3645,3615,485,2360,800,1195,570,645,170,175,40,"1.8","13.3","64.7","21.9","32.8","15.6","17.7","4.7","4.8","1.1","0.8"
01056,"Pinneberg",318326,156244,162082,37688,19704,17984,18392,9427,8965,15863,8149,7714,2529,1278,1251,27366,13979,13387,24054,12265,11789,3312,1714,1598,201508,101560,99948,172710,86222,86488,28798,15338,13460,71060,31278,39782,68011,29904,38107,3049,1374,1675,"11.8","12.6","11.1","13.8","13.6","14.0","12.1","12.3","11.9","14.3","15.1","13.5","4.3","4.4","4.2",126855,11989,"63.2","46.5",7853,2500,13853,15098,2224,"9.5","14.7","9.5",70,47,1801,1225,41175,12345,15350,9955,25825,3915,2646,858,16365,9175,11405,895,205,530,1220,2630,3565,31185,3795,4125,20005,7660,9385,"30.0","37.3","24.2","62.7","9.5","6.4","2.1","39.7","22.3","27.7","2.2","0.5","1.3","3.0","6.4","8.7","75.7","9.2","10.0","48.6","18.6","22.8",9010,8575,530,7290,1190,3020,2250,730,340,595,115,"2.8","5.9","80.9","13.2","33.5",25,"8.1","3.8","6.6","1.3","5.1"
01057,"Plön",129687,62753,66934,6496,3410,3086,6658,3379,3279,6161,3120,3041,497,259,238,10407,5221,5186,9669,4853,4816,738,368,370,77739,38478,39261,72965,35885,37080,4774,2593,2181,34883,15675,19208,34396,15485,18911,487,190,297,"5.0","5.4","4.6","7.5","7.7","7.3","7.1","7.0","7.1","6.1","6.7","5.6","1.4","1.2","1.5",45586,1721,"58.2","37.3",2638,464,2106,5294,670,"18.9","12.7","3.8",7,8,549,348,6685,1060,1930,1170,4760,1145,408,426,2080,1020,2190,100,15,245,400,465,720,4920,580,515,3925,1250,1000,"15.9","28.9","17.5","71.2","17.1","6.1","6.4","31.1","15.3","32.8","1.5","0.2","3.7","6.0","7.0","10.8","73.6","8.7","7.7","58.7","18.7","15.0",2410,2300,250,1725,435,810,325,350,110,85,30,"1.9","10.4","71.6",18,"33.6","13.5","14.5","4.6","3.5","1.2","4.8"
