"Kreis";"Anteil (< 18 J.) (ARS)";"Anteil (< 18 J.) (Kreis)";"Anteil (< 18 J.) (Ins)";"Anteil (< 18 J.) (Abs)";"Anteil (< 18 J.) (value)"
0;"01001";"Flensburg,Stadt";91113;14456;15.9
1;"01002";"Kiel,Stadt";246243;36441;14.8
2;"01003";"Lübeck,Stadt";216277;32609;15.1
3;"01004";"Neumünster,Stadt";79496;13111;16.5
4;"01051";"Dithmarschen";133969;20881;15.6
5;"01053";"HerzogtumLauenburg";200819;35136;17.5
6;"01054";"Nordfriesland";167560;25847;15.4
7;"01055";"Ostholstein";202014;28779;14.2
8;"01056";"Pinneberg";318326;54922;17.3
9;"01057";"Plön";129687;20708;16
10;"01058";"Rendsburg-Eckernförde";276053;46462;16.8
11;"01059";"Schleswig-Flensburg";203799;34552;17
12;"01060";"Segeberg";280400;47799;17
13;"01061";"Steinburg";130843;21125;16.1
14;"01062";"Stormarn";245406;42968;17.5
15;"02000";"Hamburg(BL)";1853935;315870;17
16;"03101";"Braunschweig,Stadt";248823;36817;14.8
17;"03102";"Salzgitter,Stadt";103694;19319;18.6
18;"03103";"Wolfsburg,Stadt";123949;21333;17.2
19;"03151";"Gifhorn";177919;32809;18.4
20;"03153";"Goslar";134050;18177;13.6
21;"03154";"Helmstedt";91379;15032;16.5
22;"03155";"Northeim";131765;20172;15.3
23;"03157";"Peine";136960;24885;18.2
24;"03158";"Wolfenbüttel";119224;18963;15.9
25;"03159";"Göttingen";323661;50056;15.5
26;"03241";"RegionHannover";1157541;193822;16.7
27;"03251";"Diepholz";218839;36900;16.9
28;"03252";"Hameln-Pyrmont";148963;24210;16.3
29;"03254";"Hildesheim";274773;43528;15.8
30;"03255";"Holzminden";69862;10558;15.1
31;"03256";"Nienburg(Weser)";121773;20857;17.1
32;"03257";"Schaumburg";158108;24971;15.8
33;"03351";"Celle";179915;31205;17.3
34;"03352";"Cuxhaven";199603;32580;16.3
35;"03353";"Harburg";257548;45104;17.5
36;"03354";"Lüchow-Dannenberg";48472;7393;15.3
37;"03355";"Lüneburg";185129;31606;17.1
38;"03356";"Osterholz";115054;19582;17
39;"03357";"Rotenburg(Wümme)";165001;27954;16.9
40;"03358";"Heidekreis";142912;24364;17
41;"03359";"Stade";206496;36860;17.9
42;"03360";"Uelzen";92894;14239;15.3
43;"03361";"Verden";138507;24602;17.8
44;"03401";"Delmenhorst,Stadt";77522;13961;18
45;"03402";"Emden,Stadt";49523;8272;16.7
46;"03403";"Oldenburg(Oldenburg),Stadt";170389;26329;15.5
47;"03404";"Osnabrück,Stadt";165034;25083;15.2
48;"03405";"Wilhelmshaven,Stadt";75027;11219;15
49;"03451";"Ammerland";126475;21766;17.2
50;"03452";"Aurich";190425;31089;16.3
51;"03453";"Cloppenburg";173980;34912;20.1
52;"03454";"Emsland";331397;60035;18.1
53;"03455";"Friesland";98971;15508;15.7
54;"03456";"GrafschaftBentheim";138722;25173;18.1
55;"03457";"Leer";172421;29792;17.3
56;"03458";"Oldenburg,Landkreis";132091;22593;17.1
57;"03459";"Osnabrück,Landkreis";361550;65059;18
58;"03460";"Vechta";144805;28659;19.8
59;"03461";"Wesermarsch";88430;14224;16.1
60;"03462";"Wittmund";57455;9145;15.9
61;"04011";"Bremen,Stadt";563290;93168;16.5
62;"04012";"Bremerhaven,Stadt";113173;20375;18
63;"05111";"Düsseldorf,Stadt";619477;100169;16.2
64;"05112";"Duisburg,Stadt";495152;87494;17.7
65;"05113";"Essen,Stadt";579432;96738;16.7
66;"05114";"Krefeld,Stadt";227050;38149;16.8
67;"05116";"Mönchengladbach,Stadt";261001;44575;17.1
68;"05117";"MülheimanderRuhr,Stadt";170739;28332;16.6
69;"05119";"Oberhausen,Stadt";208752;34527;16.5
70;"05120";"Remscheid,Stadt";111770;19253;17.2
71;"05122";"Solingen,Stadt";158957;27401;17.2
72;"05124";"Wuppertal,Stadt";354572;62472;17.6
73;"05154";"Kleve";314676;52597;16.7
74;"05158";"Mettmann";484411;82422;17
75;"05162";"Rhein-KreisNeuss";452496;79526;17.6
76;"05166";"Viersen";298761;48259;16.2
77;"05170";"Wesel";460433;73993;16.1
78;"05314";"Bonn,Stadt";331885;56969;17.2
79;"05315";"Köln,Stadt";1073096;174785;16.3
80;"05316";"Leverkusen,Stadt";163851;28658;17.5
81;"05334";"StädteregionAachen";556673;86795;15.6
82;"05358";"Düren";266771;45511;17.1
83;"05362";"Rhein-Erft-Kreis";471891;83166;17.6
84;"05366";"Euskirchen";194701;33047;17
85;"05370";"Heinsberg";258306;43817;17
86;"05374";"OberbergischerKreis";271621;48058;17.7
87;"05378";"Rheinisch-BergischerKreis";283429;47821;16.9
88;"05382";"Rhein-Sieg-Kreis";600732;105836;17.6
89;"05512";"Bottrop,Stadt";117311;18860;16.1
90;"05513";"Gelsenkirchen,Stadt";260126;48238;18.5
91;"05515";"Münster,Stadt";317713;47317;14.9
92;"05554";"Borken";373582;68857;18.4
93;"05558";"Coesfeld";221352;38591;17.4
94;"05562";"Recklinghausen";612801;101871;16.6
95;"05566";"Steinfurt";450176;81273;18.1
96;"05570";"Warendorf";278176;49448;17.8
97;"05711";"Bielefeld,Stadt";334002;58043;17.4
98;"05754";"Gütersloh";366104;65904;18
99;"05758";"Herford";250635;43439;17.3
100;"05762";"Höxter";139994;23606;16.9
101;"05766";"Lippe";346151;62860;18.2
102;"05770";"Minden-Lübbecke";311214;55059;17.7
103;"05774";"Paderborn";309380;54886;17.7
104;"05911";"Bochum,Stadt";363441;54438;15
105;"05913";"Dortmund,Stadt";586852;98732;16.8
106;"05914";"Hagen,Stadt";188713;33997;18
107;"05915";"Hamm,Stadt";179238;31556;17.6
108;"05916";"Herne,Stadt";156621;26227;16.7
109;"05954";"Ennepe-Ruhr-Kreis";322143;50855;15.8
110;"05958";"Hochsauerlandkreis";258615;42396;16.4
111;"05962";"MärkischerKreis";406793;68721;16.9
112;"05966";"Olpe";133120;22761;17.1
113;"05970";"Siegen-Wittgenstein";274342;45714;16.7
114;"05974";"Soest";302298;51681;17.1
115;"05978";"Unna";393063;65032;16.5
116;"06411";"Darmstadt,Stadt";159631;25858;16.2
117;"06412";"FrankfurtamMain,Stadt";759224;129763;17.1
