"Kreis";"Anteil (60-70 J.) (ARS)";"Anteil (60-70 J.) (Kreis)";"Anteil (60-70 J.) (Ins)";"Anteil (60-70 J.) (Abs)";"Anteil (60-70 J.) (value)"
0;"01001";"Flensburg,Stadt";91113;10219;11.2
1;"01002";"Kiel,Stadt";246243;26537;10.8
2;"01003";"Lübeck,Stadt";216277;26859;12.4
3;"01004";"Neumünster,Stadt";79496;10070;12.7
4;"01051";"Dithmarschen";133969;19641;14.7
5;"01053";"HerzogtumLauenburg";200819;26120;13
6;"01054";"Nordfriesland";167560;23861;14.2
7;"01055";"Ostholstein";202014;31005;15.3
8;"01056";"Pinneberg";318326;39574;12.4
9;"01057";"Plön";129687;18607;14.3
10;"01058";"Rendsburg-Eckernförde";276053;37911;13.7
11;"01059";"Schleswig-Flensburg";203799;28432;14
12;"01060";"Segeberg";280400;35262;12.6
13;"01061";"Steinburg";130843;18158;13.9
14;"01062";"Stormarn";245406;30989;12.6
15;"02000";"Hamburg(BL)";1853935;187026;10.1
16;"03101";"Braunschweig,Stadt";248823;28518;11.5
17;"03102";"Salzgitter,Stadt";103694;13422;12.9
18;"03103";"Wolfsburg,Stadt";123949;15247;12.3
19;"03151";"Gifhorn";177919;24600;13.8
20;"03153";"Goslar";134050;19835;14.8
21;"03154";"Helmstedt";91379;13266;14.5
22;"03155";"Northeim";131765;20102;15.3
23;"03157";"Peine";136960;17828;13
24;"03158";"Wolfenbüttel";119224;16844;14.1
25;"03159";"Göttingen";323661;44098;13.6
26;"03241";"RegionHannover";1157541;140187;12.1
27;"03251";"Diepholz";218839;30147;13.8
28;"03252";"Hameln-Pyrmont";148963;21436;14.4
29;"03254";"Hildesheim";274773;37689;13.7
30;"03255";"Holzminden";69862;10444;14.9
31;"03256";"Nienburg(Weser)";121773;17382;14.3
32;"03257";"Schaumburg";158108;22257;14.1
33;"03351";"Celle";179915;24826;13.8
34;"03352";"Cuxhaven";199603;29218;14.6
35;"03353";"Harburg";257548;32780;12.7
36;"03354";"Lüchow-Dannenberg";48472;7856;16.2
37;"03355";"Lüneburg";185129;23294;12.6
38;"03356";"Osterholz";115054;15988;13.9
39;"03357";"Rotenburg(Wümme)";165001;22567;13.7
40;"03358";"Heidekreis";142912;19371;13.6
41;"03359";"Stade";206496;26649;12.9
42;"03360";"Uelzen";92894;13860;14.9
43;"03361";"Verden";138507;18630;13.5
44;"03401";"Delmenhorst,Stadt";77522;9764;12.6
45;"03402";"Emden,Stadt";49523;6199;12.5
46;"03403";"Oldenburg(Oldenburg),Stadt";170389;19936;11.7
47;"03404";"Osnabrück,Stadt";165034;18055;10.9
48;"03405";"Wilhelmshaven,Stadt";75027;9859;13.1
49;"03451";"Ammerland";126475;17027;13.5
50;"03452";"Aurich";190425;27899;14.7
51;"03453";"Cloppenburg";173980;20979;12.1
52;"03454";"Emsland";331397;43355;13.1
53;"03455";"Friesland";98971;14192;14.3
54;"03456";"GrafschaftBentheim";138722;18103;13
55;"03457";"Leer";172421;23432;13.6
56;"03458";"Oldenburg,Landkreis";132091;17841;13.5
57;"03459";"Osnabrück,Landkreis";361550;48890;13.5
58;"03460";"Vechta";144805;17150;11.8
59;"03461";"Wesermarsch";88430;12747;14.4
60;"03462";"Wittmund";57455;8771;15.3
61;"04011";"Bremen,Stadt";563290;65434;11.6
62;"04012";"Bremerhaven,Stadt";113173;14716;13
63;"05111";"Düsseldorf,Stadt";619477;67166;10.8
