"Kreis";"Anteil (>= 80 J.) (ARS)";"Anteil (>= 80 J.) (Kreis)";"Anteil (>= 80 J.) (Ins)";"Anteil (>= 80 J.) (Abs)";"Anteil (>= 80 J.) (value)"
0;"01001";"Flensburg,Stadt";91113;6052;6.6
1;"01002";"Kiel,Stadt";246243;15628;6.3
2;"01003";"Lübeck,Stadt";216277;17977;8.3
3;"01004";"Neumünster,Stadt";79496;6394;8
4;"01051";"Dithmarschen";133969;10987;8.2
5;"01053";"HerzogtumLauenburg";200819;16097;8
6;"01054";"Nordfriesland";167560;13490;8.1
7;"01055";"Ostholstein";202014;18717;9.3
8;"01056";"Pinneberg";318326;24398;7.7
9;"01057";"Plön";129687;11678;9
10;"01058";"Rendsburg-Eckernförde";276053;21762;7.9
11;"01059";"Schleswig-Flensburg";203799;16078;7.9
12;"01060";"Segeberg";280400;20758;7.4
13;"01061";"Steinburg";130843;10263;7.8
14;"01062";"Stormarn";245406;20579;8.4
15;"02000";"Hamburg(BL)";1853935;115750;6.2
16;"03101";"Braunschweig,Stadt";248823;18850;7.6
17;"03102";"Salzgitter,Stadt";103694;8080;7.8
18;"03103";"Wolfsburg,Stadt";123949;10377;8.4
19;"03151";"Gifhorn";177919;11589;6.5
20;"03153";"Goslar";134050;13076;9.8
21;"03154";"Helmstedt";91379;7258;7.9
22;"03155";"Northeim";131765;11869;9
23;"03157";"Peine";136960;9967;7.3
24;"03158";"Wolfenbüttel";119224;9792;8.2
25;"03159";"Göttingen";323661;25214;7.8
26;"03241";"RegionHannover";1157541;86939;7.5
27;"03251";"Diepholz";218839;16626;7.6
28;"03252";"Hameln-Pyrmont";148963;13567;9.1
29;"03254";"Hildesheim";274773;22590;8.2
30;"03255";"Holzminden";69862;6595;9.4
31;"03256";"Nienburg(Weser)";121773;9266;7.6
32;"03257";"Schaumburg";158108;13800;8.7
33;"03351";"Celle";179915;14070;7.8
34;"03352";"Cuxhaven";199603;16500;8.3
35;"03353";"Harburg";257548;19186;7.4
36;"03354";"Lüchow-Dannenberg";48472;4503;9.3
37;"03355";"Lüneburg";185129;12433;6.7
38;"03356";"Osterholz";115054;8791;7.6
39;"03357";"Rotenburg(Wümme)";165001;11506;7
40;"03358";"Heidekreis";142912;10977;7.7
41;"03359";"Stade";206496;14280;6.9
42;"03360";"Uelzen";92894;8417;9.1
43;"03361";"Verden";138507;10029;7.2
44;"03401";"Delmenhorst,Stadt";77522;5635;7.3
45;"03402";"Emden,Stadt";49523;3409;6.9
46;"03403";"Oldenburg(Oldenburg),Stadt";170389;10766;6.3
47;"03404";"Osnabrück,Stadt";165034;10755;6.5
48;"03405";"Wilhelmshaven,Stadt";75027;6925;9.2
49;"03451";"Ammerland";126475;9774;7.7
50;"03452";"Aurich";190425;13080;6.9
51;"03453";"Cloppenburg";173980;9244;5.3
52;"03454";"Emsland";331397;19833;6
53;"03455";"Friesland";98971;8816;8.9
54;"03456";"GrafschaftBentheim";138722;9386;6.8
55;"03457";"Leer";172421;11371;6.6
56;"03458";"Oldenburg,Landkreis";132091;9380;7.1
57;"03459";"Osnabrück,Landkreis";361550;26193;7.2
58;"03460";"Vechta";144805;7659;5.3
59;"03461";"Wesermarsch";88430;6942;7.9
60;"03462";"Wittmund";57455;4380;7.6
61;"04011";"Bremen,Stadt";563290;40473;7.2
62;"04012";"Bremerhaven,Stadt";113173;7851;6.9
63;"05111";"Düsseldorf,Stadt";619477;41854;6.8
64;"05112";"Duisburg,Stadt";495152;35114;7.1
65;"05113";"Essen,Stadt";579432;43036;7.4
66;"05114";"Krefeld,Stadt";227050;17313;7.6
67;"05116";"Mönchengladbach,Stadt";261001;17747;6.8
68;"05117";"MülheimanderRuhr,Stadt";170739;14499;8.5
69;"05119";"Oberhausen,Stadt";208752;15331;7.3
70;"05120";"Remscheid,Stadt";111770;8474;7.6
71;"05122";"Solingen,Stadt";158957;12037;7.6
72;"05124";"Wuppertal,Stadt";354572;25192;7.1
73;"05154";"Kleve";314676;20697;6.6
74;"05158";"Mettmann";484411;41362;8.5
75;"05162";"Rhein-KreisNeuss";452496;34094;7.5
76;"05166";"Viersen";298761;22553;7.5
77;"05170";"Wesel";460433;36159;7.9
78;"05314";"Bonn,Stadt";331885;21280;6.4
79;"05315";"Köln,Stadt";1073096;62512;5.8
80;"05316";"Leverkusen,Stadt";163851;13270;8.1
81;"05334";"StädteregionAachen";556673;37987;6.8
82;"05358";"Düren";266771;18301;6.9
83;"05362";"Rhein-Erft-Kreis";471891;33199;7
84;"05366";"Euskirchen";194701;13398;6.9
85;"05370";"Heinsberg";258306;17499;6.8
86;"05374";"OberbergischerKreis";271621;20112;7.4
87;"05378";"Rheinisch-BergischerKreis";283429;23700;8.4
88;"05382";"Rhein-Sieg-Kreis";600732;43817;7.3
89;"05512";"Bottrop,Stadt";117311;8675;7.4
90;"05513";"Gelsenkirchen,Stadt";260126;17259;6.6
91;"05515";"Münster,Stadt";317713;19529;6.1
92;"05554";"Borken";373582;23724;6.4
93;"05558";"Coesfeld";221352;15356;6.9
94;"05562";"Recklinghausen";612801;46051;7.5
95;"05566";"Steinfurt";450176;30474;6.8
96;"05570";"Warendorf";278176;20163;7.2
97;"05711";"Bielefeld,Stadt";334002;24168;7.2
98;"05754";"Gütersloh";366104;25500;7
99;"05758";"Herford";250635;20109;8
100;"05762";"Höxter";139994;11049;7.9
101;"05766";"Lippe";346151;27976;8.1
102;"05770";"Minden-Lübbecke";311214;24372;7.8
103;"05774";"Paderborn";309380;18757;6.1
104;"05911";"Bochum,Stadt";363441;27924;7.7
105;"05913";"Dortmund,Stadt";586852;40666;6.9
106;"05914";"Hagen,Stadt";188713;14400;7.6
107;"05915";"Hamm,Stadt";179238;12494;7
108;"05916";"Herne,Stadt";156621;11272;7.2
109;"05954";"Ennepe-Ruhr-Kreis";322143;26240;8.1
110;"05958";"Hochsauerlandkreis";258615;20015;7.7
111;"05962";"MärkischerKreis";406793;31160;7.7
112;"05966";"Olpe";133120;9144;6.9
113;"05970";"Siegen-Wittgenstein";274342;20125;7.3
114;"05974";"Soest";302298;22217;7.3
115;"05978";"Unna";393063;29871;7.6
116;"06411";"Darmstadt,Stadt";159631;9285;5.8
117;"06412";"FrankfurtamMain,Stadt";759224;37557;4.9
118;"06413";"OffenbachamMain,Stadt";131295;6797;5.2
119;"06414";"Wiesbaden,Stadt";278950;19013;6.8
120;"06431";"Bergstraße";271166;19820;7.3
121;"06432";"Darmstadt-Dieburg";296900;19620;6.6
122;"06433";"Groß-Gerau";276307;17643;6.4
123;"06434";"Hochtaunuskreis";237041;19257;8.1
124;"06435";"Main-Kinzig-Kreis";423465;29432;7
125;"06436";"Main-Taunus-Kreis";239276;17647;7.4
126;"06437";"Odenwaldkreis";96953;7615;7.9
127;"06438";"Offenbach";357466;25271;7.1
128;"06439";"Rheingau-Taunus-Kreis";187229;14541;7.8
129;"06440";"Wetteraukreis";311661;21840;7
130;"06531";"Gießen";272874;17262;6.3
131;"06532";"Lahn-Dill-Kreis";253364;18926;7.5
132;"06533";"Limburg-Weilburg";172759;12168;7
133;"06534";"Marburg-Biedenkopf";246097;16337;6.6
134;"06535";"Vogelsbergkreis";105671;8891;8.4
135;"06611";"Kassel,Stadt";200406;13322;6.6
136;"06633";"Kassel";237268;19819;8.4
137;"06631";"Fulda";223572;16785;7.5
138;"06632";"Hersfeld-Rotenburg";120163;9864;8.2
139;"06634";"Schwalm-Eder-Kreis";180052;13927;7.7
140;"06635";"Waldeck-Frankenberg";156513;12419;7.9
141;"06636";"Werra-Meißner-Kreis";99714;8620;8.6
142;"07111";"Koblenz,Stadt";113638;9035;8
143;"07131";"Ahrweiler";128146;10832;8.5
144;"07132";"Altenkirchen(Westerwald)";129261;9595;7.4
145;"07133";"BadKreuznach";159402;12172;7.6
146;"07134";"Birkenfeld";80849;6663;8.2
147;"07135";"Cochem-Zell";61735;5234;8.5
148;"07137";"Mayen-Koblenz";215446;15653;7.3
149;"07138";"Neuwied";184390;13837;7.5
150;"07140";"Rhein-Hunsrück-Kreis";103767;7801;7.5
151;"07141";"Rhein-Lahn-Kreis";122724;9296;7.6
152;"07143";"Westerwaldkreis";203831;14229;7
153;"07211";"Trier,Stadt";110570;6959;6.3
154;"07231";"Bernkastel-Wittlich";113194;8795;7.8
155;"07232";"Bitburg-Prüm";100959;6876;6.8
156;"07233";"Vulkaneifel";60882;4987;8.2
157;"07235";"Trier-Saarburg";151167;10511;7
158;"07311";"Frankenthal(Pfalz),Stadt";48773;4105;8.4
159;"07312";"Kaiserslautern,Stadt";99292;6782;6.8
160;"07313";"LandauinderPfalz,Stadt";46919;3132;6.7
161;"07314";"LudwigshafenamRhein,Stadt";172145;11168;6.5
162;"07315";"Mainz,Stadt";217556;13305;6.1
163;"07316";"NeustadtanderWeinstraße,Stadt";53491;4743;8.9
164;"07317";"Pirmasens,Stadt";40054;3751;9.4
165;"07318";"Speyer,Stadt";50565;3942;7.8
166;"07319";"Worms,Stadt";83850;5703;6.8
167;"07320";"Zweibrücken,Stadt";34091;2822;8.3
168;"07331";"Alzey-Worms";131330;8000;6.1
169;"07332";"BadDürkheim";133206;10427;7.8
170;"07333";"Donnersbergkreis";75569;5226;6.9
171;"07334";"Germersheim";129313;8373;6.5
172;"07335";"Kaiserslautern,Landkreis";106853;7536;7.1
173;"07336";"Kusel";69949;5491;7.9
174;"07337";"SüdlicheWeinstraße";111279;8377;7.5
175;"07338";"Rhein-Pfalz-Kreis";155050;11926;7.7
176;"07339";"Mainz-Bingen";212420;14156;6.7
177;"07340";"Südwestpfalz";94819;8346;8.8
178;"08111";"Stuttgart,Stadt";626275;41424;6.6
179;"08115";"Böblingen";393195;27532;7
180;"08116";"Esslingen";533388;38586;7.2
181;"08117";"Göppingen";259046;19383;7.5
182;"08118";"Ludwigsburg";544679;37655;6.9
183;"08119";"Rems-Murr-Kreis";427316;31538;7.4
184;"08121";"Heilbronn,Stadt";125613;8586;6.8
185;"08125";"Heilbronn";347798;21970;6.3
186;"08126";"Hohenlohekreis";113318;7364;6.5
187;"08127";"SchwäbischHall";199398;12294;6.2
188;"08128";"Main-Tauber-Kreis";132956;10029;7.5
189;"08135";"Heidenheim";132958;10366;7.8
190;"08136";"Ostalbkreis";315009;21898;7
191;"08211";"Baden-Baden,Stadt";55527;5192;9.4
192;"08212";"Karlsruhe,Stadt";306502;20463;6.7
193;"08215";"Karlsruhe";448487;31909;7.1
194;"08216";"Rastatt";232296;17273;7.4
195;"08221";"Heidelberg,Stadt";159245;9394;5.9
196;"08222";"Mannheim,Stadt";311831;19115;6.1
